legacyId,status,reason,supersededBy,paperUse,retention
P8_LEGACY_ABLATION,LEGACY,Pre-canonical baseline and mixed mechanisms,V35-P21,FORBIDDEN,THIN_ARCHIVE
P8_SHIFT,LEGACY,ShiftMode is permanently NONE,V35_MAINLINE,FORBIDDEN,THIN_ARCHIVE
P9_SHIFT_COMPARISONS,LEGACY,Old shift and CA-TA semantics,V35-P25E,FORBIDDEN,THIN_ARCHIVE
P25A_OLD_PRESSURE,LEGACY,Predates pressure diagnosis correction,BAL_OPEN,APPENDIX,FULL_ARCHIVE
P25D_ENHANCED_COMPARATOR,INVALID,Comparison algorithms were rewritten,V35-P25E,FORBIDDEN,THIN_ARCHIVE
FC6A1_BP_POLLUTED,INVALID,Wrong BP-polluted jar,V35_FC6,FORBIDDEN,THIN_ARCHIVE
FC6B_INITIAL,RETRY,Failed or incomplete batch,V35_FC6_REGION_R3,FORBIDDEN,THIN_ARCHIVE
FC6B_R1,RETRY,Upload-only or failed batch,V35_FC6_REGION_R3,FORBIDDEN,THIN_ARCHIVE
FC6B_R2,RETRY,Intermediate 20-job batch,V35_FC6_REGION_R3,FORBIDDEN,THIN_ARCHIVE
PHASE_BUDGET_INITIAL,RETRY,Superseded preflight,V35_PHASE_BUDGET_R3,FORBIDDEN,THIN_ARCHIVE
PHASE_BUDGET_R2,RETRY,Superseded preflight,V35_PHASE_BUDGET_R3,FORBIDDEN,THIN_ARCHIVE
STAGE2_UNPAIRED,INVALID,Incomplete five-arm roster,V35_STAGE2_PILOT,FORBIDDEN,THIN_ARCHIVE
STAGE2_PARTIAL,INVALID,Run did not complete,V35_STAGE2_PILOT,FORBIDDEN,THIN_ARCHIVE
