diagnosticRunId,comparison,contrastRole,instance,seed,arm,initialBudget,budgetEscalation,sourceRunId,telemetryMode,status,startCondition,paperUse
FC5T-A0_vs_A2-100_2_5_1-20260911-A0_BASELINE,A0_vs_A2,POSITIVE,100_2_5_1,20260911,A0_BASELINE,50000,50000->100000->250000->500000_if_required,V35A2FINAL-100_2_5_1-20260911-A0,FC5_100JOB_TRANSFER_V1_OBSERVER_ONLY,COMPLETED_50K_ACCEPTED_PENDING_ANALYSIS,core_merge_pool_fields_absent_in_historical_run,ROOT_CAUSE_DIAGNOSTIC_ONLY
FC5T-A0_vs_A2-100_2_5_1-20260911-A2_CFVF,A0_vs_A2,POSITIVE,100_2_5_1,20260911,A2_CFVF,50000,50000->100000->250000->500000_if_required,V35A2FINAL-100_2_5_1-20260911-A2,FC5_100JOB_TRANSFER_V1_OBSERVER_ONLY,COMPLETED_50K_ACCEPTED_PENDING_ANALYSIS,core_merge_pool_fields_absent_in_historical_run,ROOT_CAUSE_DIAGNOSTIC_ONLY
FC5T-A0_vs_A2-100_2_5_1-20260912-A0_BASELINE,A0_vs_A2,POSITIVE,100_2_5_1,20260912,A0_BASELINE,50000,50000->100000->250000->500000_if_required,V35A2FINAL-100_2_5_1-20260912-A0,FC5_100JOB_TRANSFER_V1_OBSERVER_ONLY,COMPLETED_50K_ACCEPTED_PENDING_ANALYSIS,core_merge_pool_fields_absent_in_historical_run,ROOT_CAUSE_DIAGNOSTIC_ONLY
FC5T-A0_vs_A2-100_2_5_1-20260912-A2_CFVF,A0_vs_A2,POSITIVE,100_2_5_1,20260912,A2_CFVF,50000,50000->100000->250000->500000_if_required,V35A2FINAL-100_2_5_1-20260912-A2,FC5_100JOB_TRANSFER_V1_OBSERVER_ONLY,COMPLETED_50K_ACCEPTED_PENDING_ANALYSIS,core_merge_pool_fields_absent_in_historical_run,ROOT_CAUSE_DIAGNOSTIC_ONLY
FC5T-A0_vs_A2-100_2_5_1-20260913-A0_BASELINE,A0_vs_A2,POSITIVE,100_2_5_1,20260913,A0_BASELINE,50000,50000->100000->250000->500000_if_required,V35A2FINAL-100_2_5_1-20260913-A0,FC5_100JOB_TRANSFER_V1_OBSERVER_ONLY,COMPLETED_50K_ACCEPTED_PENDING_ANALYSIS,core_merge_pool_fields_absent_in_historical_run,ROOT_CAUSE_DIAGNOSTIC_ONLY
FC5T-A0_vs_A2-100_2_5_1-20260913-A2_CFVF,A0_vs_A2,POSITIVE,100_2_5_1,20260913,A2_CFVF,50000,50000->100000->250000->500000_if_required,V35A2FINAL-100_2_5_1-20260913-A2,FC5_100JOB_TRANSFER_V1_OBSERVER_ONLY,COMPLETED_50K_ACCEPTED_PENDING_ANALYSIS,core_merge_pool_fields_absent_in_historical_run,ROOT_CAUSE_DIAGNOSTIC_ONLY
FC5T-A0_vs_A2-100_8_3_1-20260911-A0_BASELINE,A0_vs_A2,NEGATIVE,100_8_3_1,20260911,A0_BASELINE,50000,50000->100000->250000->500000_if_required,V35A2FINAL-100_8_3_1-20260911-A0,FC5_100JOB_TRANSFER_V1_OBSERVER_ONLY,COMPLETED_50K_ACCEPTED_PENDING_ANALYSIS,core_merge_pool_fields_absent_in_historical_run,ROOT_CAUSE_DIAGNOSTIC_ONLY
FC5T-A0_vs_A2-100_8_3_1-20260911-A2_CFVF,A0_vs_A2,NEGATIVE,100_8_3_1,20260911,A2_CFVF,50000,50000->100000->250000->500000_if_required,V35A2FINAL-100_8_3_1-20260911-A2,FC5_100JOB_TRANSFER_V1_OBSERVER_ONLY,COMPLETED_50K_ACCEPTED_PENDING_ANALYSIS,core_merge_pool_fields_absent_in_historical_run,ROOT_CAUSE_DIAGNOSTIC_ONLY
FC5T-A0_vs_A2-100_8_3_1-20260912-A0_BASELINE,A0_vs_A2,NEGATIVE,100_8_3_1,20260912,A0_BASELINE,50000,50000->100000->250000->500000_if_required,V35A2FINAL-100_8_3_1-20260912-A0,FC5_100JOB_TRANSFER_V1_OBSERVER_ONLY,COMPLETED_50K_ACCEPTED_PENDING_ANALYSIS,core_merge_pool_fields_absent_in_historical_run,ROOT_CAUSE_DIAGNOSTIC_ONLY
FC5T-A0_vs_A2-100_8_3_1-20260912-A2_CFVF,A0_vs_A2,NEGATIVE,100_8_3_1,20260912,A2_CFVF,50000,50000->100000->250000->500000_if_required,V35A2FINAL-100_8_3_1-20260912-A2,FC5_100JOB_TRANSFER_V1_OBSERVER_ONLY,COMPLETED_50K_ACCEPTED_PENDING_ANALYSIS,core_merge_pool_fields_absent_in_historical_run,ROOT_CAUSE_DIAGNOSTIC_ONLY
FC5T-A0_vs_A2-100_8_3_1-20260913-A0_BASELINE,A0_vs_A2,NEGATIVE,100_8_3_1,20260913,A0_BASELINE,50000,50000->100000->250000->500000_if_required,V35A2FINAL-100_8_3_1-20260913-A0,FC5_100JOB_TRANSFER_V1_OBSERVER_ONLY,COMPLETED_50K_ACCEPTED_PENDING_ANALYSIS,core_merge_pool_fields_absent_in_historical_run,ROOT_CAUSE_DIAGNOSTIC_ONLY
FC5T-A0_vs_A2-100_8_3_1-20260913-A2_CFVF,A0_vs_A2,NEGATIVE,100_8_3_1,20260913,A2_CFVF,50000,50000->100000->250000->500000_if_required,V35A2FINAL-100_8_3_1-20260913-A2,FC5_100JOB_TRANSFER_V1_OBSERVER_ONLY,COMPLETED_50K_ACCEPTED_PENDING_ANALYSIS,core_merge_pool_fields_absent_in_historical_run,ROOT_CAUSE_DIAGNOSTIC_ONLY
FC5T-A2_vs_A4-100_2_4_1-20260901-A2_CFVF,A2_vs_A4,POSITIVE,100_2_4_1,20260901,A2_CFVF,50000,50000->100000->250000->500000_if_required,V35A2A4-100_2_4_1-20260901-A2,FC5_100JOB_TRANSFER_V1_OBSERVER_ONLY,COMPLETED_50K_ACCEPTED_PENDING_ANALYSIS,core_merge_pool_fields_absent_in_historical_run,ROOT_CAUSE_DIAGNOSTIC_ONLY
FC5T-A2_vs_A4-100_2_4_1-20260901-A4_BUDGET_AWARE_CATA,A2_vs_A4,POSITIVE,100_2_4_1,20260901,A4_BUDGET_AWARE_CATA,50000,50000->100000->250000->500000_if_required,V35A2A4-100_2_4_1-20260901-A4,FC5_100JOB_TRANSFER_V1_OBSERVER_ONLY,COMPLETED_50K_ACCEPTED_PENDING_ANALYSIS,core_merge_pool_fields_absent_in_historical_run,ROOT_CAUSE_DIAGNOSTIC_ONLY
